date,article_count
2014-10-28,37
2014-10-27,62
2014-10-26,42
2014-10-25,54
2014-10-24,99
2014-10-23,84
2014-10-22,71
2014-10-21,63
2014-10-20,71
2014-10-19,49
2014-10-18,48
2014-10-17,125
2014-10-16,120
2014-10-15,105
2014-10-14,88
2014-10-13,70
2014-10-12,48
2014-10-11,32
2014-10-10,62
2014-10-09,70
2014-10-08,67
2014-10-07,54
2014-10-06,54
2014-10-05,27
2014-10-04,35
2014-10-03,65
2014-10-02,70
2014-10-01,53
2014-09-30,25
2014-09-29,7
2014-09-28,5
2014-09-27,10
2014-09-26,26
2014-09-25,26
2014-09-24,18
2014-09-23,30
2014-09-22,20
2014-09-21,7
2014-09-20,9
2014-09-19,23
2014-09-18,28
2014-09-17,26
2014-09-16,31
2014-09-15,9
2014-09-14,5
2014-09-13,11
2014-09-12,16
2014-09-11,21
2014-09-10,11
2014-09-09,21
2014-09-08,21
2014-09-07,11
2014-09-06,15
2014-09-05,20
2014-09-04,19
2014-09-03,17
2014-09-02,23
2014-09-01,7
2014-08-31,3
2014-08-30,14
